COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2022-057T;52749;ICEYE Ltd.;;;;
2022-057AC;52758;ICEYE Ltd.;;;;
2018-099AU;43800;ICEYE Ltd.;;;;
2022-057AD;52759;ICEYE Ltd.;;;;
29230991AS;55049;ICEYE Ltd.;;;;
2022-057Z;52755;ICEYE Ltd.;;;;
2023-001BF;55062;ICEYE Ltd.;;;;
2019-038D;44390;ICEYE Ltd.;;;;
2019-038C;44389;ICEYE Ltd.;;;;
2020-068M;46497;ICEYE Ltd.;;;;
2020-068L;46496;ICEYE Ltd.;;;;
2021-006DB;47510;ICEYE Ltd.;;;;
2021-006CX;47506;ICEYE Ltd.;;;;
2019-068A;44628;National Aeronautics and Space Administration (NASA);;;;
2015-015A;40538;Mitsubishi Electric;;;;
2018-021A;43223;Mitsubishi Electric;;;;
2020-009A;45165;Mitsubishi Electric;;;;
2017-015A;42072;Mitsubishi Electric;;;;
2018-052A;43495;Mitsubishi Electric;;;;
2023-012A;55329;Mitsubishi Electric;;;;
2011-050A;37813;Mitsubishi;Toshiba;;;
2011-075A;37954;Mitsubishi;Toshiba;;;
2013-002A;39061;Mitsubishi Electric;;;;
2013-002B;39062;Mitsubishi Electric;;;;
2015-004A;40381;Mitsubishi Electric;;;;
2023-054A;56178;TÃœBÄ°TAK Space Technologies Research Institute;;;;
2006-027A;29249;National Reconnaissance Laboratory;;;;
2008-010A;32706;National Reconnaissance Laboratory;;;;
2014-081A;40344;National Reconnaissance Laboratory;;;;
2017-056A;42941;National Reconnaissance Laboratory;;;;
1996-070A;24674;Lockheed Martin Commercial Space Systems;;;;
1998-006B;25153;Lockheed Martin Commercial Space Systems;;;;
2005-009A;28628;EADS Astrium;;;;
2005-044A;28899;EADS Astrium;;;;
2008-039A;33278;EADS Astrium;;;;
2013-038A;39215;Astrium;;;;
2013-073A;39476;Boeing Corp.;;;;
2015-005A;40384;Boeing Corp.;;;;
2015-042A;40882;Boeing Corp.;;;;
2017-025A;42698;Boeing Corp.;;;;
2019-080B;44801;Thales Alenia Space;;;;
2021-128A;50319;Airbus Defence and Space;;;;
2023-022A;55683;Airbus Defence and Space;;;;
2018-096V;43738;ATSB;;;;
2017-008B;41949;ISRO Satellite Center;;;;
2017-008G;41954;ISRO Satellite Center;;;;
2018-004F;43116;ISRO Satellite Center;;;;
2022-013C;51658;ISRO Satellite Center;;;;
2013-038B;39216;ISRO Satellite Center;;;;
2016-054A;41752;ISRO Satellite Center;;;;
2022-013B;51657;University of Coloradoâ€™s Laboratory for Atmospheric and Space Physics;Indian Institute of Space Science and Technology;;;
2023-054AK;56211;NRS Lab Atmospheres;Innovative Solutions In Space B.V.  ;;;
2002-048A;27540;Alenia Aerospazio (and 28 subcontractors);;;;
2001-019A;26766;Boeing Satellite Systems;;;;
2004-022A;28358;EADS Astrium;;;;
2007-044B;32253;Orbital Sciences Corp.;;;;
2000-068A;26590;Alcatel Space Industries;;;;
2009-064A;36097;Space Systems;Loral;;;
2009-067A;36106;Orbital Sciences Corp.;;;;
2010-006A;36397;Orbital Sciences Corp.;;;;
2010-065B;37238;Space Systems;Loral;;;
2011-056A;37834;Orbital Sciences Corp.;;;;
2012-030A;38356;Space Systems;Loral;;;
2000-072A;26608;Boeing Satellite Systems;;;;
2012-043A;38740;Space Systems;Loral;;;
2012-045A;38749;Boeing Satellite Systems;;;;
2012-011A;38098;Boeing Space & Intelligence Systems;;;;
2012-057A;38867;Orbital Sciences Corp.;;;;
2008-034A;33153;Space Systems;Loral;;;
2014-062A;40271;Space Systems;Loral;;;
2016-035A;41581;Space Systems;Loral;;;
2016-053B;41748;Boeing Satellite Systems;;;;
2015-039A;40874;Space Systems;Loral;;;
2017-041A;42818;Boeing Satellite Systems;;;;
2016-053A;41747;Space Systems;Loral;;;
2017-059A;42950;Boeing Satellite Systems;;;;
2019-049B;44476;Maxar Technologies;;;;
2023-052A;56174;Maxar Technologies;;;;
1997-046A;24916;Hughes Space and Communications Co.;;;;
2000-043A;26451;Hughes Space and Communications Co.;;;;
2001-024A;26824;Lockheed Martin Commercial Space Systems;;;;
2001-039A;26900;Space Systems;Loral;;;
2002-007A;27380;Space Systems;Loral;;;
2002-027A;27438;Space Systems;Loral;;;
2002-041A;27513;Space Systems;Loral;;;
2011-016A;37392;Orbital Sciences Corp.;;;;
1998-067A;25544;Boeing Satellite Systems (prime);Multinational;;;
2008-051A;33401;Orbital Sciences Corp.;;;;
2020-061C;46274;D-Orbit;;;;
2017-003D;41920;Thales Alenia Space;Orbital ATK;;;
2017-003B;41918;Thales Alenia Space;Orbital ATK;;;
2017-003F;41922;Thales Alenia Space;Orbital ATK;;;
2017-003E;41921;Thales Alenia Space;Orbital ATK;;;
2017-003A;41917;Thales Alenia Space;Orbital ATK;;;
2017-061F;42960;Thales Alenia Space;Orbital ATK;;;
2017-003H;41924;Thales Alenia Space;Orbital ATK;;;
2017-003C;41919;Thales Alenia Space;Orbital ATK;;;
2018-047F;43481;Thales Alenia Space;Orbital ATK;;;
2017-003K;41926;Thales Alenia Space;Orbital ATK;;;
2017-003J;41925;Thales Alenia Space;Orbital ATK;;;
2017-039A;42803;Thales Alenia Space;Orbital ATK;;;
2017-003G;41923;Thales Alenia Space;Orbital ATK;;;
2017-039D;42806;Thales Alenia Space;Orbital ATK;;;
2017-083C;43072;Thales Alenia Space;Orbital ATK;;;
2017-039F;42808;Thales Alenia Space;Orbital ATK;;;
2017-039E;42807;Thales Alenia Space;Orbital ATK;;;
2017-061E;42959;Thales Alenia Space;Orbital ATK;;;
2017-039C;42805;Thales Alenia Space;Orbital ATK;;;
2017-039K;42812;Thales Alenia Space;Orbital ATK;;;
2017-061C;42957;Thales Alenia Space;Orbital ATK;;;
2017-039B;42804;Thales Alenia Space;Orbital ATK;;;
2017-039H;42810;Thales Alenia Space;Orbital ATK;;;
2017-061K;42964;Thales Alenia Space;Orbital ATK;;;
2017-039G;42809;Thales Alenia Space;Orbital ATK;;;
2017-061B;42956;Thales Alenia Space;Orbital ATK;;;
2017-039J;42811;Thales Alenia Space;Orbital ATK;;;
2017-061D;42958;Thales Alenia Space;Orbital ATK;;;
2017-083D;43073;Thales Alenia Space;Orbital ATK;;;
2017-083K;43079;Thales Alenia Space;Orbital ATK;;;
2017-061G;42961;Thales Alenia Space;Orbital ATK;;;
2017-061A;42955;Thales Alenia Space;Orbital ATK;;;
2017-083F;43075;Thales Alenia Space;Orbital ATK;;;
2017-083A;43070;Thales Alenia Space;Orbital ATK;;;
2017-061H;42962;Thales Alenia Space;Orbital ATK;;;
2017-083G;43076;Thales Alenia Space;Orbital ATK;;;
2017-083B;43071;Thales Alenia Space;Orbital ATK;;;
2017-061J;42963;Thales Alenia Space;Orbital ATK;;;
2018-030D;43252;Thales Alenia Space;Orbital ATK;;;
2017-083H;43077;Thales Alenia Space;Orbital ATK;;;
2018-030H;43256;Thales Alenia Space;Orbital ATK;;;
2018-030K;43258;Thales Alenia Space;Orbital ATK;;;
2018-030A;43249;Thales Alenia Space;Orbital ATK;;;
2018-030E;43253;Thales Alenia Space;Orbital ATK;;;
2018-030F;43254;Thales Alenia Space;Orbital ATK;;;
2018-047E;43480;Thales Alenia Space;Orbital ATK;;;
2018-030G;43255;Thales Alenia Space;Orbital ATK;;;
2018-030B;43250;Thales Alenia Space;Orbital ATK;;;
2018-030J;43257;Thales Alenia Space;Orbital ATK;;;
2017-083E;43074;Thales Alenia Space;Orbital ATK;;;
2018-047D;43479;Thales Alenia Space;Orbital ATK;;;
2017-083J;43078;Thales Alenia Space;Orbital ATK;;;
2018-061F;43574;Thales Alenia Space;Orbital ATK;;;
2018-061E;43573;Thales Alenia Space;Orbital ATK;;;
2018-061H;43576;Thales Alenia Space;Orbital ATK;;;
2018-030C;43251;Thales Alenia Space;Orbital ATK;;;
2018-061C;43571;Thales Alenia Space;Orbital ATK;;;
2018-061K;43578;Thales Alenia Space;Orbital ATK;;;
2018-061A;43569;Thales Alenia Space;Orbital ATK;;;
2018-047C;43478;Thales Alenia Space;Orbital ATK;;;
2018-047G;43482;Thales Alenia Space;Orbital ATK;;;
2018-061G;43575;Thales Alenia Space;Orbital ATK;;;
2018-061J;43577;Thales Alenia Space;Orbital ATK;;;
2018-061D;43572;Thales Alenia Space;Orbital ATK;;;
2018-061B;43570;Thales Alenia Space;Orbital ATK;;;
2019-002K;43931;Thales Alenia Space;Orbital ATK;;;
2019-002C;43924;Thales Alenia Space;Orbital ATK;;;
2019-002E;43926;Thales Alenia Space;Orbital ATK;;;
2019-002J;43930;Thales Alenia Space;Orbital ATK;;;
2019-002H;43929;Thales Alenia Space;Orbital ATK;;;
2019-002F;43927;Thales Alenia Space;Orbital ATK;;;
2019-002D;43925;Thales Alenia Space;Orbital ATK;;;
2019-002G;43928;Thales Alenia Space;Orbital ATK;;;
2019-002B;43923;Thales Alenia Space;Orbital ATK;;;
2019-002A;43922;Thales Alenia Space;Orbital ATK;;;
2013-033A;39197;Lockheed Martin Space Systems Advanced Technology Center (ATC);;;;
2023-054AV;56221;National Center for Atmospheric Research (NCKU);;;;
2013-034A;39199;ISRO Satellite Center;;;;
2014-017A;39635;ISRO Satellite Center;;;;
2014-061A;40269;ISRO Satellite Center;;;;
2015-018A;40547;ISRO Satellite Center;;;;
2016-003A;41241;ISRO Satellite Center;;;;
2016-015A;41384;IRSO Satellite Center;;;;
2016-027A;41469;IRSO Satellite Center;;;;
2018-035A;43286;IRSO Satellite Center;;;;
2003-046A;28051;ISRO Satellite Center;;;;
2017-071P;43050;NASA Small Satellite Technology Program;;;;
2018-111D;43879;German Orbital Systems;;;;
2018-104H;43856;SRI International;CalPoly;;;
2023-054M;56189;TrustPoint Inc.;;;;
2009-051E;35935;ITU Space Systems Design & Test Laboratory;;;;
2021-121A;49954;Ball Aerospace;;;;
2019-038F;44419;German Orbital Systems;;;;
2016-002A;41240;Thales Alenia Space;;;;
2006-033A;29272;Lockheed Martin Commercial Space Systems;;;;
2012-023A;38331;Lockheed Martin Commercial Space Systems;;;;
2016-028A;41471;Space Systems;Loral;;;
2016-082A;41903;Space Systems;Loral;;;
2016-050A;41729;Space Systems;Loral;;;
2020-013A;45245;Lockheed Martin Commercial Space Systems;;;;
2019-091A;44868;Boeing Satellite Systems;;;;
2002-015A;27399;Boeing Satellite Systems;;;;
2006-010A;29045;Lockheed Martin Commercial Space Systems;;;;
2009-044A;35755;Lockheed Martin Commercial Space Systems;;;;
2018-094D;43713;Shanghai Ok Space Co Ltd.;;;;
2019-032A;44310;Chang Guang Satellite Technology Co. Ltd.;;;;
2015-057B;40959;Chang Guang Satellite Technology Co. Ltd.;;;;
2015-057C;40960;Chang Guang Satellite Technology Co. Ltd.;;;;
2019-075A;44777;Chang Guang Satellite Technology Co. Ltd.;;;;
2019-086A;44836;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-086A;49256;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-097A;49338;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065A;46454;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065B;46455;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065C;46456;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065D;46457;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065E;46458;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065F;46459;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065G;46460;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065H;46461;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-065J;46462;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019K;51833;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019L;51834;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019M;51835;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019N;51836;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019P;51837;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019Q;51838;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019R;51839;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019S;51840;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019T;51841;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-062B;49004;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-061C;49005;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-062D;49006;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-046B;52389;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-046C;52390;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-046D;52391;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-046E;52392;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048B;52444;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048C;52445;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048D;52446;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048E;52447;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048F;52448;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048G;52449;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048H;52450;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007D;55251;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-046A;52388;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007J;55256;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007H;55255;Chang Guang Satellite Technology Co. Ltd.;;;;
2021-062A;49003;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-048A;52443;Chang Guang Satellite Technology Co. Ltd.;;;;
2020-003A;45016;Chang Guang Satellite Technology Co. Ltd.;;;;
2022-019J;51832;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007E;55252;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007F;55253;Chang Guang Satellite Technology Co. Ltd.;;;;
2023-007G;55254;Chang Guang Satellite Technology Co. Ltd.;;;;
2015-057D;40961;Chang Guang Satellite Technology Co. Ltd.;;;;
2019-005E;43946;Chang Guang Satellite Technology Co. Ltd.;;;;
2017-002B;41914;Chang Guang Satellite Technology Co. Ltd.;;;;
2017-074A;43022;Chang Guang Satellite Technology Co. Ltd.;;;;
2017-074B;43023;Chang Guang Satellite Technology Co. Ltd.;;;;
2017-074C;43024;Chang Guang Satellite Technology Co. Ltd.;;;;
2018-008E;43159;Chang Guang Satellite Technology Co. Ltd.;;;;
2018-008F;43160;Chang Guang Satellite Technology Co. Ltd.;;;;
2019-005B;43943;Chang Guang Satellite Technology Co. Ltd.;;;;
 2021-033G;48254;Beijing ZeroG Space Technology Co., Ltd.;;;;
2021-033H;48255;Beijing ZeroG Space Technology Co., Ltd.;;;;
2021-117B;49813;Unknown;;;;
2021-091L;49325;Shanghai Jiao Tong University;APSCO;;;
2023-007M;55259;Gang Hang Ke;;;;
2023-007N;55260;Gang Hang Ke;;;;
2021-117E;49816;Beijing ZeroG Space Technology Co., Ltd.;;;;
2023-007L;55258;Gang Hang Ke;;;;
2019-059B;44529;Shenzhen Aerospace Dongfanghong Development Ltd.;;;;
2018-099AX;43803;Royal Jordanian Radio Amateur Society;;;;
2015-049F;40904;China Aerospace Science and Technology Corp. (CASC);;;;
2012-039A;38707;All-Russia Research Institute of Electromechanics (NPP VNIIEM);;;;
2017-042A;42825;Roscosmos;;;;
2018-014A;43180;Roscosmos;;;;
2018-014B;43181;Roscosmos;;;;
2018-111A;43876;Roscosmos;;;;
2018-111B;43877;Roscosmos;;;;
2014-024A;39731;Airbus Defence and Space;;;;
2014-033A;40010;Surrey Satellite Technology Ltd.;;;;
2011-035B;37749;Khrunichev;;;;
2014-023B;39728;Thales Alenia Space;;;;
2018-099AB;43783;Surrey Satellite Technology Ltd.;;;;
2015-077B;41167;National University of Singapore;;;;
2021-006CS;47501;Kepler Aerospace;;;;
2021-006CU;47503;Kepler Aerospace;;;;
2021-026AK;47446;Kepler Aerospace;;;;
2021-026AT;47454;Kepler Aerospace;;;;
2021-006CB;47486;Kepler Aerospace;;;;
2021-006BA;47461;Kepler Aerospace;;;;
2022-002CD;51059;Kepler Aerospace;;;;
2022-002CB;51057;Kepler Aerospace;;;;
2022-002U;51002;Kepler Aerospace;;;;
2022-002BV;51051;Kepler Aerospace;;;;
2018-096L;43729;Clyde Space;;;;
2023-054AR;56217;Kepler Aerospace;;;;
2023-054AS;56218;Kepler Aerospace;;;;
2020-061AZ;46319;Clyde Space;;;;
2020-068AP;46499;Kepler Aerospace;;;;
2020-068AN;46498;Kepler Aerospace;;;;
2021-022Z;47955;Kepler Aerospace;;;;
2021-022T;47949;Kepler Aerospace;;;;
2021-006BR;47476;Kepler Aerospace;;;;
2021-006DX;47531;Kepler Aerospace;;;;
1998-067NE;42982;U.S. Army Space and Missile Defense Command;Army Forces Strategic Command;;;
2022-117A;53883;Lockheed Martin;;;;
2005-042A;28888;Lockheed Martin;;;;
2011-002A;37348;Lockheed Martin;;;;
2013-043A;39232;Lockheed Martin;;;;
2019-004A;43941;Lockheed Martin;;;;
2021-032A;48247;Lockheed Martin;;;;
2018-084F;43676;Mohammed bin Rashid Space Center;;;;
2022-096A;53370;All-Russian Scientific Research Institute Of Electromechanics (VNIIEM);;;;
2023-054D;56181;GUMUSH AeroSpace;;;;
2018-008C;43157;Clyde Space;;;;
2017-005A;41940;Mitsubishi Electric;;;;
2015-049R;40914;Tsinghua University;;;;
2009-002H;33499;Tokyo Metropolitan College of Industrial Technology;;;;
2019-077A;44785;Innovation Academy for Microsatellites;Chinese Academy of Sciences;;;
2019-077B;44786;Innovation Academy for Microsatellites;Chinese Academy of Sciences;;;
2021-070A;49059;Shanghai Institute of Microsatellite Innovation, Chinese Academy of Sciences;;;;
2021-070B;49060;Shanghai Institute of Microsatellite Innovation, Chinese Academy of Sciences;;;;
2021-022U;47950;Engineering Department, Chosun University;;;;
2006-031A;29268;Korea Aerospace Research Institute (KARI); EADS Astrium;;;
2012-025B;38338;Korea Aerospace Research Institute (KARI); EADS Astrium;;;
2015-014A;40536;Korea Aerospace Research Institute (KARI);;;;
2013-042A;39227;Korea Aerospace Research Institute (KARI);;;;
2006-034A;29349;Thales Alenia Space;;;;
2017-067A;42984;Thales Alenia Space;;;;
2010-070B;37265;Orbital Sciences Corp.;;;;
2017-023A;42691;Thales Alenia Space;;;;
2021-102H;49402;National Institute of Technology at Kochi College;;;;
2021-059BD;48930;Kleos Space;;;;
2021-059AZ;48926;Kleos Space;;;;
2022-033AP;52194;Kleos Space;;;;
2022-033AN;52193;Kleos Space;;;;
2022-033AJ;52189;Kleos Space;;;;
2022-033AK;52190;Kleos Space;;;;
2023-001CF;55086;Kleos Space;;;;
2023-001L;55019;Kleos Space;;;;
2023-001K;55018;Kleos Space;;;;
2023-001CE;55085;Kleos Space;;;;
2021-059BR;48942;Kleos Space;;;;
2021-059BZ;48950;Kleos Space;;;;
2020-081B;46906;Kleos Space;;;;
2020-081C;46907;Kleos Space;;;;
2020-081H;46912;Kleos Space;;;;
2020-081K;46914;Kleos Space;;;;
2021-022Y;47954;College of Engineering, King Saud University;;;;
2022-129A;54029;Chinese Academy of Sciences;;;;
2023-001CY;55103;Kuwait University;;;;
2019-058B;44520;Chinese Academy of Sciences;;;;
2000-047A;26473;Lockheed Martin Astronautics;;;;
2005-016A;28646;Lockheed Martin Astronautics;;;;
2021-022S;47948;Open Cosmos;;;;
2023-054AN;56214;NanoAvionics;;;;
2020-068G;46492;Open Cosmos;;;;
2018-102F;43836;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102G;43837;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102H;43838;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102J;43839;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102K;43840;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102L;43841;Beijing Commsat Technology Development Co. Ltd.;;;;
2018-102M;43842;Beijing Commsat Technology Development Co. Ltd.;;;;
1999-020A;25682;Lockheed Martin Missiles & Space;;;;
2013-008A;39084;Orbital Sciences Corp.;;;;
2021-088A;49260;Northrop Grumman Innovative Systems (NGIS);;;;
2015-067A;41034;China Academy of Space Technology (CAST);;;;
2015-052B;40931;Indonesian National Institute of Aeronautics and Space;;;;
2016-040E;41603;Indonesian National Institute of Aeronautics and Space;;;;
2007-001A;29709;Technical University Berlin;;;;
2002-058H;27612;SpaceQuest;;;;
2002-058B;27606;SpaceQuest;;;;
2021-118B;49818;Northrup Grumman;;;;
2023-008B;55264;Northrup Grumman;;;;
2021-073D;49069;Sapienza;ESA;;;
2014-033AL;40044;NanoSatisfi Inc.;;;;
2021-059BA;48927;Spire Global;;;;
2019-038X;44407;Spire Global;;;;
2018-046F;43559;Spire Global;;;;
2021-034B;48269;Spire Global;;;;
2017-042P;42838;Spire Global;;;;
2017-019B;42752;Spire Global;;;;
2021-059AW;48923;Spire Global;;;;
2016-062E;41873;Spire Global;;;;
2019-018H;44085;Spire Global;;;;
2017-071L;43047;Spire Global;;;;
2018-004Q;43125;Spire Global;;;;
2021-059CJ;48959;Spire Global;;;;
2021-006DV;47529;Spire Global;;;;
2018-088H;43697;Spire Global;;;;
2015-052D;40933;Spire Global;;;;
2018-111G;43882;Spire Global;;;;
2018-111P;43889;Spire Global;;;;
2018-004R;43126;Spire Global;;;;
2020-068R;46501;Spire Global;;;;
2017-042T;42842;Spire Global;;;;
2023-001F;55014;Spire Global;;;;
1998-067RW;46926;Spire Global;;;;
2022-002CC;51058;Spire Global;;;;
2020-061AW;46316;Spire Global;;;;
2018-096AC;43745;Spire Global;;;;
2017-071S;43053;Spire Global;;;;
2019-038V;44405;Spire Global;;;;
2019-038Z;44409;Spire Global;;;;
2019-018J;44086;Spire Global;;;;
2023-001AE;55037;Spire Global;;;;
2020-061AC;46298;Spire Global;;;;
2023-001CH;55088;Spire Global;;;;
2017-042R;42840;Spire Global;;;;
2017-042N;42837;Spire Global;;;;
2019-038AB;44411;Spire Global;;;;
2018-111K;43885;Spire Global;;;;
2019-089J;44860;Spire Global;;;;
2021-059G;48885;Spire Global;;;;
2021-006DR;47525;Spire Global;;;;
2017-019C;42753;Spire Global;;;;
2020-081G;46911;Spire Global;;;;
2015-052E;40934;Spire Global;;;;
2018-014C;43182;Spire Global;;;;
2020-081E;46909;Spire Global;;;;
2017-008BB;41997;Spire Global;;;;
2015-052C;40932;Spire Global;;;;
2019-018G;44084;Spire Global;;;;
2021-059AY;48925;Spire Global;;;;
2019-089D;44855;Spire Global;;;;
2018-014E;43184;Spire Global;;;;
2022-057E;52736;Spire Global;;;;
2022-002AQ;51022;Spire Global;;;;
2018-096P;43732;Spire Global;;;;
2017-036K;42774;Spire Global;;;;
2019-038L;44396;Spire Global;;;;
2017-036R;42780;Spire Global;;;;
2017-071T;43054;Spire Global;;;;
2017-036J;42773;Spire Global;;;;
2017-036Q;42779;Spire Global;;;;
2021-006CJ;47493;Spire Global;;;;
2018-010C;43165;Spire Global;;;;
2018-004N;43123;Spire Global;;;;
2017-071Q;43051;Spire Global;;;;
2017-036T;42782;Spire Global;;;;
2021-059BC;48929;Spire Global;;;;
2017-008AW;41992;Spire Global;;;;
2022-057AP;52769;Spire Global;;;;
2022-002BY;51054;Spire Global;;;;
2023-001AF;55038;Spire Global;;;;
2017-042Q;42839;Spire Global;;;;
2019-038T;44403;Spire Global;;;;
2021-006AW;47457;Spire Global;;;;
2018-111M;43887;Spire Global;;;;
2021-006AP;47450;Spire Global;;;;
2020-068T;46503;Spire Global;;;;
2017-008BA;41996;Spire Global;;;;
2021-006DY;47538;Spire Global;;;;
2023-054E;56182;Spire Global;;;;
2018-096N;43731;Spire Global;;;;
2020-061AD;46299;Spire Global;;;;
2020-081D;46908;Spire Global;;;;
2019-089K;44861;Spire Global;;;;
2015-052F;40935;Spire Global;;;;
2017-042S;42841;Spire Global;;;;
2018-004P;43124;Spire Global;;;;
2023-001E;55013;Spire Global;;;;
2022-002AP;51021;Spire Global;;;;
2017-008AZ;41995;Spire Global;;;;
2018-111J;43884;Spire Global;;;;
2017-019D;42754;Spire Global;;;;
2017-071E;43041;Spire Global;;;;
2022-002BE;51036;Spire Global;;;;
2017-071M;43048;Spire Global;;;;
2023-054AE;56206;Spire Global;;;;
2021-006DC;47511;Spire Global;;;;
2017-036S;42781;Spire Global;;;;
2021-006AS;47453;Spire Global;;;;
2018-111N;43888;Spire Global;;;;
2017-008AV;41991;Spire Global;;;;
2020-061AV;46315;Spire Global;;;;
2017-036G;42771;Spire Global;;;;
2020-068Q;46500;Spire Global;;;;
2017-008AX;41993;Spire Global;;;;
2016-062D;41872;Spire Global;;;;
2021-034F;48273;Spire Global;;;;
2017-008AY;41994;Spire Global;;;;
2017-019E;42755;Spire Global;;;;
2020-061AX;46317;Spire Global;;;;
2023-001J;55017;Spire Global;;;;
2020-068S;46502;Spire Global;;;;
2017-008BC;41998;Spire Global;;;;
2018-010E;43167;Spire Global;;;;
2022-057A;52732;Spire Global;;;;
2018-014F;43185;Spire Global;;;;
2019-089M;44863;Spire Global;;;;
2018-111H;43883;Spire Global;;;;
2018-046H;43561;Spire Global;;;;
2018-014D;43183;Spire Global;;;;
2020-061AY;46318;Spire Global;;;;
2022-057B;52733;Spire Global;;;;
2019-018K;44087;Spire Global;;;;
2018-096AD;43746;Spire Global;;;;
2018-046E;43558;Spire Global;;;;
2020-081F;46910;Spire Global;;;;
2019-038S;44402;Spire Global;;;;
2016-062F;41874;Spire Global;;;;
2016-062C;41871;Spire Global;;;;
2017-036H;42772;Spire Global;;;;
2019-038AE;44414;Spire Global;;;;
2017-071J;43045;Spire Global;;;;
2018-046G;43560;Spire Global;;;;
2017-042W;42845;Spire Global;;;;
2018-111L;43886;Spire Global;;;;
2018-088F;43695;Spire Global;;;;
2019-036X;44360;California Polytechnic State University;;;;
2018-004C;43113;Surrey Satellite Technology Ltd.;;;;
2015-049K;40908;Harbin Institute of Technology;;;;
2021-059Z;48902;General Atomics Electromagnetic Systems;;;;
2021-059AA;48903;General Atomics Electromagnetic Systems;;;;
2014-051A;40136;Xinwei Telecom Technology Co;Tsinghua University;;;
2019-005A;43942;Beijing ZeroG Technology Co. Ltd.;;;;
2021-117D;49815;Zhongke Xingrui;;;;
2017-077A;43034;China Academy of Space Technology (CAST);;;;
2017-084A;43080;China Academy of Space Technology (CAST);;;;
2018-006A;43146;China Academy of Space Technology (CAST);;;;
2018-025A;43236;China Academy of Space Technology (CAST);;;;
2023-054AU;56220;Aerospace Corporation;;;;
2023-054AT;56219;Aerospace Corporation;;;;
2020-051B;54940;Shanghai ASES Spaceflight Technology Co. Ltd., NJU;HKU;;;
2009-063A;36095;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2017-076A;43032;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2018-082A;43657;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2021-008A;47546;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2022-036A;52202;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2014-086A;40358;TsSKB-Progress Samara Space Center and KB Arsenal;;;;
2015-057A;40958;USA;;;;
2020-089A;47202;Mitsubishi Electric;;;;
2011-074B;37951;ISS Reshetnev;Thales Alenia Space;;;
2012-061A;38977;OAOÂ ISS;;;;
2023-031A;55841;ISS Reshetnev;;;;
2014-023A;39727;OAO Resetneva;;;;
2014-058A;40258;ISS Reshetnev;;;;
2019-038W;44406;SkyFox Labs;;;;
2022-007A;51284;Shanghai Academy of Spaceflight Technology (SAST);;;;
2022-018A;51822;Shanghai Academy of Spaceflight Technology (SAST);;;;
2018-111AJ;43908;University of Vigo;AlÃ©n Space;;;
